"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"59","181.42544703185078","260.6914060244527","0.004150390625","0.00830078125","0","2180","0.0002159464101752361","32","0.0002159464101752361","0","0.0002159464101752361","0.0002159464101752361","55:0.0015662838187991135;75:0.0012877337988921045","55:68;75:68","55:0.0011310857359005944;75:0.0010916297066914937","0.004150390625","0.00439453125","Yes"
"60","207.51504032361865","26.148836383894366","0.005126953125","0.00732421875","0.0029296875","2180","0.000480387138275617","32","0.000480387138275617","0","0.000480387138275617","0.000480387138275617","61:0.0033360020358161047","61:68","61:0.0031847321441658694","0.005126953125","0.007080078125","Yes"
"61","170.14539247937202","30.461192863984312","0.008056640625","0.01123046875","0.0048828125","2180","0.0003987866862646709","32","0.0003987866862646709","0","0.0003987866862646709","0.0003987866862646709","76:0.0029711377143395445;60:0.0033360020358161047;62:0.0023675097660289246","76:68;60:68;62:68","76:0.0029167598005266637;60:0.0031847321441658694;62:0.0021429764307876187","0.008056640625","0.00732421875","Yes"
"62","261.69387436632013","76.30604456259901","0.010986328125","0.0087890625","0.01318359375","2180","0.0002468062410336104","32","0.0002468062410336104","0","0.0002468062410336104","0.0002468062410336104","61:0.0023675097660289246;63:0.002392433716335879","61:68;63:68","61:0.0021429764307876187;63:0.0026966075365557063","0.010986328125","0.0087890625","Yes"
"63","340.2532899883912","38.94428155728784","0.01318359375","0.00830078125","0.01806640625","2180","0.00044243392086759414","32","0.00044243392086759414","0","0.00044243392086759414","0.00044243392086759414","56:0.002629066566514987;62:0.002392433716335879;64:0.002170211470645139","56:68;62:68;64:68","56:0.0025574996040563236;62:0.0026966075365557063;64:0.002704100314782243","0.01318359375","0.0439453125","Yes"
"64","214.56091838586698","111.63345631566372","0.004638671875","0.00537109375","0.00390625","2180","0.00023097286401241695","32","0.00023097286401241695","0","0.00023097286401241695","0.00023097286401241695","65:0.00217262223926995;63:0.002170211470645139","65:68;63:68","65:0.0020395580509555977;63:0.002704100314782243","0.004638671875","0.00732421875","Yes"
"65","304.43431539323467","210.3388055563018","0.010009765625","0.01953125","0.00048828125","2180","0.0004906476284630272","32","0.0004906476284630272","0","0.0004906476284630272","0.0004906476284630272","64:0.00217262223926995;66:0.0020606588115140156;77:0.0014331589832591862","64:68;66:68;77:68","64:0.0020395580509555977;66:0.0015180628546297703;77:0.0013259490406185293","0.010009765625","0.002685546875","Yes"
"66","134.78393722995614","157.6659552641669","0.0087890625","0.01611328125","0.00146484375","2180","0.0004413204716592005","32","0.0004413204716592005","0","0.0004413204716592005","0.0004413204716592005","65:0.0020606588115140156;67:0.0022685788012577757","65:68;67:68","65:0.0015180628546297703;67:0.0017743664702891127","0.0087890625","0.00439453125","Yes"
"67","223.1762494459065","167.88156479301432","0.00634765625","0.01025390625","0.00244140625","2180","0.00015950320234167103","32","0.00015950320234167103","0","0.00015950320234167103","0.00015950320234167103","68:0.0016311145078061473;57:0.0030576971975882217;66:0.0022685788012577757","68:68;57:68;66:68","68:0.0016047339949658568;57:0.0015610759752341385;66:0.0017743664702891127","0.00634765625","0.00537109375","Yes"
"68","258.14317279633406","161.0592744544277","0.0048828125","0.0068359375","0.0029296875","2180","0.00016610843595267456","32","0.00016610843595267456","0","0.00016610843595267456","0.00016610843595267456","67:0.0016311145078061473;69:0.0016570435045520082","67:68;69:68","67:0.0016047339949658568;69:0.001721730247408959","0.0048828125","0.008544921875","Yes"
"69","323.6173848145478","278.68782629241196","0.0048828125","0.0078125","0.001953125","2180","0.00027068543569715094","32","0.00027068543569715094","0","0.00027068543569715094","0.00027068543569715094","78:0.0023594606063667145;68:0.0016570435045520082;70:0.002532762107754022","78:68;68:68;70:68","78:0.003239227853800597;68:0.001721730247408959;70:0.0018685501851823938","0.0048828125","0.004638671875","Yes"
"70","138.0215499938855","145.02801763999616","0.014892578125","0.01611328125","0.013671875","2180","0.0002032265068186504","32","0.0002032265068186504","0","0.0002032265068186504","0.0002032265068186504","69:0.002532762107754022;71:0.0015662245691180354","69:68;71:68","69:0.0018685501851823938;71:0.0021683581801638097","0.014892578125","0.041748046875","Yes"
"71","271.59220422911875","159.8403825795935","0.007080078125","0.0078125","0.00634765625","2180","0.00015836992928655437","32","0.00015836992928655437","0","0.00015836992928655437","0.00015836992928655437","72:0.001310912800251307;58:0.0011593858057538098;70:0.0015662245691180354","72:68;58:68;70:68","72:0.0010970918963531529;58:0.0012088900472937703;70:0.0021683581801638097","0.007080078125","0.004150390625","Yes"
