t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
4.640000000000000568e+01,6.147555856724143397e-02,1.163202120896468239e-01,7.740548860146614918e-02,6.073274701345342079e-03,7.133221390012080276e-02,7.639125619324576011e-01,9.865605053246429844e-10,1.377807640250110075e-14,2.938012620477120319e-13,8.527044160723279854e-04,1.200000000000000000e+01,4.263522079715309607e-04
4.650000000000000000e+01,7.036859456483696151e-02,1.119524973599339140e-01,7.757786790294890489e-02,6.366372765841136518e-03,7.121149513710776924e-02,7.638764252983095693e-01,9.553433129392539494e-10,1.366685703980307933e-14,2.981519339604877011e-13,8.530999487130491591e-04,1.200000000000000000e+01,4.265499742953692344e-04
4.660000000000000142e+01,7.053930222636700664e-02,1.057932713917688478e-01,7.758563155779897580e-02,6.400870030895006516e-03,7.118476152690396408e-02,7.638734551309676046e-01,9.256111919381178813e-10,1.366433964600561538e-14,2.942686691480014617e-13,8.531526111779248181e-04,1.200000000000000000e+01,4.265763055313348409e-04
4.670000000000000284e+01,6.190560766527400394e-02,9.967253624660840639e-02,7.743714700429704667e-02,6.178410480297003189e-03,7.125873652400004088e-02,7.638484841808063086e-01,8.977169887242131919e-10,1.321660244760988614e-14,3.051244645366883225e-13,8.538145466494280293e-04,1.200000000000000000e+01,4.269072732701554977e-04
4.680000000000000426e+01,4.653690573684951537e-02,9.621073940275273739e-02,7.717437086296252691e-02,5.747707476093205994e-03,7.142666338686931571e-02,7.637536046762626318e-01,8.714793952198124603e-10,1.321309313100930466e-14,2.871073757947710004e-13,8.558570838530275100e-04,1.200000000000000000e+01,4.279285418743647689e-04
4.690000000000000568e+01,5.274349584557916359e-02,9.746986298711478314e-02,7.686332966814339585e-02,5.197974720254511585e-03,7.166535494788887906e-02,7.635639392156543526e-01,8.463314440760180985e-10,1.321176435230906918e-14,2.985978615782627964e-13,8.597071086020610740e-04,9.000000000000000000e+00,4.298535542504222564e-04
4.700000000000000000e+01,6.888016996140902681e-02,1.031609337897463202e-01,7.657784173643258918e-02,4.642268281052287088e-03,7.193557345538030556e-02,7.632857343147947393e-01,8.216345536952230957e-10,1.332274163695212439e-14,2.949809054152185441e-13,8.652728756338651586e-04,9.000000000000000000e+00,4.326364377665654253e-04
4.710000000000000142e+01,7.430300484320420673e-02,1.107933415088710599e-01,7.638136371665738000e-02,4.194212086037742149e-03,7.218715163061964479e-02,7.629541661315226708e-01,7.969919886255798850e-10,1.332308203726508626e-14,2.991386503914746389e-13,8.718596756688995215e-04,9.000000000000000000e+00,4.359298377829496154e-04
4.720000000000000284e+01,6.725384456117501630e-02,1.174784787023464699e-01,7.631240032973943266e-02,3.943829995403436151e-03,7.236857033433599651e-02,7.626217391763349118e-01,7.724299009648642655e-10,1.332341392370464639e-14,2.952804041126415450e-13,8.783298484276275912e-04,9.000000000000000000e+00,4.391649241608039530e-04
4.730000000000000426e+01,5.007832753388061220e-02,1.211227770760383016e-01,7.637773306587899991e-02,3.938917167022104593e-03,7.243881589885689531e-02,7.623411714445540444e-01,7.483609414749161149e-10,1.354632502838744552e-14,3.059741465490210943e-13,8.835331427285019086e-04,9.000000000000000000e+00,4.417665713107608643e-04
