t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
5.575000000000000000e+03,5.857199596555604515e-01,7.340639907551471666e-01,3.164932208590393037e-01,8.651033863986223524e-03,3.078421869950530576e-01,3.839513056696888848e-04,0.000000000000000000e+00,2.920800930979642567e-12,2.330896349368265048e-12,7.896006334149197059e-02,1.200000000000000000e+01,3.948003167074598529e-02
5.575100000000000364e+03,4.425460064955268336e-01,7.340643827572664870e-01,3.164930278765119565e-01,8.278203026591161168e-03,3.082148248499207988e-01,3.839157920661429523e-04,0.000000000000000000e+00,2.920818180563310066e-12,2.330932091240563679e-12,7.896006336130124981e-02,1.200000000000000000e+01,3.948003168065062490e-02
5.575200000000000728e+03,3.091790529746098470e-01,7.340649471982231278e-01,3.164928049660222786e-01,7.863822482214701676e-03,3.086289824838076012e-01,3.838524711574061777e-04,0.000000000000000000e+00,2.920865159110655599e-12,2.330977730622709453e-12,7.896006339443090161e-02,5.000000000000000000e+00,3.948003169721545080e-02
5.575300000000000182e+03,3.589603607192610735e-01,7.340655157347542037e-01,3.164925690265119607e-01,7.490436675598878546e-03,3.090021323509130613e-01,3.837647898067238000e-04,0.000000000000000000e+00,2.920906835590998527e-12,2.331014249955928207e-12,7.896006343847306042e-02,9.000000000000000000e+00,3.948003171923653021e-02
5.575400000000000546e+03,3.884515309170316621e-01,7.340659157480258212e-01,3.164923379360393696e-01,7.222716968277698157e-03,3.092696209677616714e-01,3.836634323061364885e-04,0.000000000000000000e+00,2.920995125560416265e-12,2.331059320705165955e-12,7.896006348775720662e-02,9.000000000000000000e+00,3.948003174387860331e-02
5.575500000000000000e+03,3.486483604818411131e-01,7.340660306035460270e-01,3.164921291952652593e-01,7.090989586936491396e-03,3.094011396083287679e-01,3.835631487682394946e-04,0.000000000000000000e+00,2.921010562182111635e-12,2.331099461075918633e-12,7.896006353499929187e-02,9.000000000000000000e+00,3.948003176749964593e-02
5.575600000000000364e+03,3.156767644512103455e-01,7.340658411066798283e-01,3.164919586014856012e-01,7.084185796251196710e-03,3.094077728052344045e-01,3.834783733005821000e-04,0.000000000000000000e+00,2.921060699097505638e-12,2.331136795859079601e-12,7.896006357348961391e-02,1.200000000000000000e+01,3.948003178674480695e-02
5.575700000000000728e+03,4.579479332708589756e-01,7.340654328828604136e-01,3.164918390538610793e-01,7.154686430872247982e-03,3.093371526229888313e-01,3.834189317199213293e-04,0.000000000000000000e+00,2.921147255241015105e-12,2.331189432992945241e-12,7.896006359914958805e-02,5.000000000000000000e+00,3.948003179957479403e-02
5.575800000000000182e+03,5.883354392673902922e-01,7.340649665524386913e-01,3.164917795799812028e-01,7.233869095735562249e-03,3.092579104842456683e-01,3.833871177088334103e-04,0.000000000000000000e+00,2.921132929018597064e-12,2.331226941425796564e-12,7.896006361177163035e-02,5.000000000000000000e+00,3.948003180588581518e-02
5.575900000000000546e+03,6.645252540614046133e-01,7.340646210611017075e-01,3.164917846566549509e-01,7.253773473387625792e-03,3.092380111832673251e-01,3.833770116625739139e-04,0.000000000000000000e+00,2.921274312396505687e-12,2.331275333750481031e-12,7.896006361504433191e-02,5.000000000000000000e+00,3.948003180752216595e-02
5.576000000000000000e+03,6.730803919720325101e-01,7.340645303858835957e-01,3.164918538752851673e-01,7.168303383308483046e-03,3.093235504919766843e-01,3.833762457845496107e-04,0.000000000000000000e+00,2.921293329578581476e-12,2.331319020843247430e-12,7.896006361539331664e-02,5.000000000000000000e+00,3.948003180769665832e-02
5.576100000000000364e+03,6.124714915089092271e-01,7.340647363723560304e-01,3.164919819761346509e-01,6.967466129407962061e-03,3.095245158467266888e-01,3.833696860603416157e-04,0.000000000000000000e+00,2.921372979093044567e-12,2.331356599300148586e-12,7.896006362005000834e-02,5.000000000000000000e+00,3.948003181002500417e-02
5.576200000000000728e+03,4.934529189080206213e-01,7.340651746719510928e-01,3.164921592481980683e-01,6.680310785496162973e-03,3.098118484627019331e-01,3.833439309429755590e-04,0.000000000000000000e+00,2.921388019134830636e-12,2.331394872001005204e-12,7.896006363494578739e-02,5.000000000000000000e+00,3.948003181747289370e-02
5.576300000000000182e+03,3.364233711102231350e-01,7.340656987345801632e-01,3.164923722642155601e-01,6.365776939657175060e-03,3.101265953245583851e-01,3.832912889307913610e-04,0.000000000000000000e+00,2.921503723761670386e-12,2.331444691723839359e-12,7.896006366300852009e-02,5.000000000000000000e+00,3.948003183150426004e-02
5.576400000000000546e+03,3.301432083792702477e-01,7.340661329929285550e-01,3.164926048955427063e-01,6.094450136215623370e-03,3.103981547593270829e-01,3.832120580117345928e-04,0.000000000000000000e+00,2.921519653000401434e-12,2.331484949037809322e-12,7.896006370330395374e-02,9.000000000000000000e+00,3.948003185165197687e-02
5.576500000000000000e+03,3.857579664011228093e-01,7.340663358479894152e-01,3.164928395308098663e-01,5.927009526402474138e-03,3.105658300044074061e-01,3.831144351609971259e-04,0.000000000000000000e+00,2.921541618662312408e-12,2.331525290642196582e-12,7.896006375126680965e-02,9.000000000000000000e+00,3.948003187563340483e-02
5.576600000000000364e+03,3.730400856669578991e-01,7.340662496906993351e-01,3.164930584070463904e-01,5.896053776148324488e-03,3.105970046308980659e-01,3.830120832013221457e-04,0.000000000000000000e+00,2.921586270998006234e-12,2.331568610959203177e-12,7.896006380000461511e-02,9.000000000000000000e+00,3.948003190000230755e-02
5.576700000000000728e+03,2.957371454101276331e-01,7.340659201560724156e-01,3.164932449532935066e-01,5.996743910637040292e-03,3.104965010426564698e-01,3.829200733999154043e-04,0.000000000000000000e+00,2.921698013262242516e-12,2.331606011984508270e-12,7.896006384234643960e-02,9.000000000000000000e+00,3.948003192117321980e-02
5.576800000000000182e+03,4.039502976562577286e-01,7.340654781907662851e-01,3.164933850454090813e-01,6.188760549698401128e-03,3.103046244957106681e-01,3.828504053964439081e-04,0.000000000000000000e+00,2.921690032645081363e-12,2.331647549476052435e-12,7.896006387302882679e-02,1.200000000000000000e+01,3.948003193651441339e-02
5.576900000000000546e+03,5.568664786251857901e-01,7.340650920578537519e-01,3.164934680769765363e-01,6.408441012882889164e-03,3.100850270640936324e-01,3.828084370837660428e-04,0.000000000000000000e+00,2.921773813122772246e-12,2.331700643142189886e-12,7.896006389030740813e-02,1.200000000000000000e+01,3.948003194515370406e-02
5.577000000000000000e+03,6.617923519108910302e-01,7.340649071043132690e-01,3.164934877646693456e-01,6.586843379919413849e-03,3.099066443847499075e-01,3.827912907339009853e-04,0.000000000000000000e+00,2.921850288042013610e-12,2.331742002743414640e-12,7.896006389646358092e-02,1.200000000000000000e+01,3.948003194823179046e-02
5.577100000000000364e+03,6.997823724904933540e-01,7.340649951119715411e-01,3.164934426262205336e-01,6.667876438762760163e-03,3.098255661874577682e-01,3.827887123357836294e-04,0.000000000000000000e+00,2.921929943211393561e-12,2.331784691508456125e-12,7.896006389706525241e-02,1.200000000000000000e+01,3.948003194853262621e-02
5.577200000000000728e+03,6.637927900580037344e-01,7.340653310269096288e-01,3.164933360938997353e-01,6.620997307183463555e-03,3.098723387867162726e-01,3.827861259515342811e-04,0.000000000000000000e+00,2.921982613463336166e-12,2.331825649963159044e-12,7.896006389926793489e-02,1.200000000000000000e+01,3.948003194963396745e-02
5.577300000000000182e+03,5.604568882708574895e-01,7.340658044929496695e-01,3.164931762542524951e-01,6.445100476057794361e-03,3.100480757781947094e-01,3.827689690553536125e-04,0.000000000000000000e+00,2.922061682730144924e-12,2.331867745078615994e-12,7.896006390970966571e-02,1.200000000000000000e+01,3.948003195485483285e-02
5.577400000000000546e+03,4.084283091111067243e-01,7.340662608805733624e-01,3.164929752336241853e-01,6.163314793715802750e-03,3.103296604399083947e-01,3.827270171692724295e-04,0.000000000000000000e+00,2.922077937541476995e-12,2.331906552383173921e-12,7.896006393259961953e-02,1.200000000000000000e+01,3.948003196629980976e-02
5.577500000000000000e+03,2.949598145257076864e-01,7.340665561421646501e-01,3.164927482763540967e-01,5.811412567746913893e-03,3.106813357086071758e-01,3.826574157452281803e-04,0.000000000000000000e+00,2.922126125650290355e-12,2.331944585067388723e-12,7.896006396850190068e-02,5.000000000000000000e+00,3.948003198425095034e-02
5.577600000000000364e+03,3.727731620297876636e-01,7.340666055444132754e-01,3.164925125862594335e-01,5.424429126915007726e-03,3.110680834593444466e-01,3.825655244755040091e-04,0.000000000000000000e+00,2.922146622987985037e-12,2.331992221828412740e-12,7.896006401413974141e-02,9.000000000000000000e+00,3.948003200706987070e-02
