N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,ring,1.878584,1.520594,0.35799,-0.35799,1.110223025e-16,0.547899218,3.3312,0.981652815
4,ring,1.878584,1.476869,0.401714,-0.401714,1.33226763e-15,0.501593965,3.9746,0.98870915
4,ring,1.878584,1.427805,0.450779,-0.450779,3.330669074e-16,0.597206369,2.8038,0.99485349
4,ring,1.878584,1.372747,0.505837,-0.505837,5.551115123e-16,0.619018295,2.6097,0.999053405
4,ring,1.878584,1.310965,0.567619,-0.567619,4.761662417e-16,0.598231347,2.7942,0.999676766
4,ring,1.878584,1.241637,0.636947,-0.636947,2.081777956e-15,0.525621196,3.6195,0.994233386
4,ring,1.878584,1.163841,0.714743,-0.714743,1.165951016e-15,0.641179512,2.4324,0.979129902
4,ring,1.878584,1.076544,0.80204,-0.80204,2.661391073e-15,0.66040406,2.2929,0.949643219
4,ring,1.878584,0.978584,0.9,-0.9,3.633852844e-16,0.679963434,2.1629,0.900466287
4,ring,1.878584,1.882584,0.004,0.004,4.787836794e-16,0.663230489,2.2734,0.893015569
4,ring,1.878584,1.883072,0.004489,0.004489,1.110223025e-16,0.648532121,2.3776,0.892879916
4,ring,1.878584,1.883621,0.005037,0.005037,1.927607701e-16,0.757051844,1.7448,0.892727684
4,ring,1.878584,1.884236,0.005652,0.005652,1.040575803e-15,0.689004948,2.1065,0.892556843
4,ring,1.878584,1.884926,0.006342,0.006342,4.884143022e-16,0.627564915,2.5391,0.892365118
4,ring,1.878584,1.885701,0.007117,0.007117,1.062304677e-15,0.712044205,1.9724,0.892149955
4,ring,1.878584,1.88657,0.007986,0.007986,9.473008027e-17,0.766492426,1.7021,0.891908484
4,ring,1.878584,1.887545,0.008962,0.008962,2.081668171e-17,0.762584102,1.7196,0.891637486
4,ring,1.878584,1.88864,0.010056,0.010056,2.220446049e-16,0.460923349,4.707,0.891333347
4,ring,1.878584,1.889868,0.011284,0.011284,1.17981459e-16,0.770043595,1.6864,0.890992009
4,ring,1.878584,1.891247,0.012663,0.012663,7.771561172e-16,0.767779751,1.6964,0.890608918
4,ring,1.878584,1.892793,0.014209,0.014209,9.019884449e-17,0.762137115,1.7216,0.890178959
4,ring,1.878584,1.894529,0.015945,0.015945,7.771561172e-16,0.731874714,1.8669,0.889696392
4,ring,1.878584,1.896476,0.017892,0.017892,6.661338148e-16,0.574775397,3.0269,0.88915477
