N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
4,chain,32.478021,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.061580108,1
4,chain,36.719934,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.054466329,1
4,chain,41.515878,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.048174339,1
4,chain,46.938215,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.042609204,1
4,chain,53.068756,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.037686958,1
4,chain,60,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.033333333,1
4,ring,0.5,2,2,0,FrozenLevelCrossing,1,5.967448757e-16,0.124449649,0.497798595,0.872259531
4,ring,0.565304,2,2,0,FrozenLevelCrossing,1,2.498001805e-16,0.158599185,0.561110766,0.514480437
4,ring,0.639138,2,2,0,FrozenLevelCrossing,1,2.423937407e-16,0.201679815,0.631099371,0.778568687
4,ring,0.722615,2,2,0,FrozenLevelCrossing,1,2.155393919e-15,0.255486496,0.707116421,0.716397892
4,ring,0.816995,2,2,0,FrozenLevelCrossing,1,2.331468346e-15,0.321496542,0.78702212,0.736533947
4,ring,0.923702,2,2,0,FrozenLevelCrossing,1,1.221251362e-15,0.39995634,0.865986015,0.693644264
4,ring,1.044345,2,2,0,FrozenLevelCrossing,1,1.0447432e-15,0.488399307,0.935321662,0.665754766
4,ring,1.180746,2,2,0,FrozenLevelCrossing,1,2.44975862e-15,0.580501457,0.983279371,0.650630032
4,ring,1.334961,2,2,0,FrozenLevelCrossing,1,9.416222364e-16,0.667479602,0.999998325,0.658113407
4,ring,1.509319,2,2,0,FrozenLevelCrossing,1,5.768633184e-17,0.742282879,0.983599678,0.695294265
4,ring,1.706449,2,2,0,FrozenLevelCrossing,1,1.048458027e-15,0.802394658,0.940425992,0.706703804
4,ring,1.929327,2,2,0,FrozenLevelCrossing,1,9.974659987e-17,0.848908855,0.880005363,0.704213191
4,ring,2.181313,2,2,0,FrozenLevelCrossing,1,9.320023577e-16,0.884330295,0.810823671,0.74192475
4,ring,2.466212,2,2,0,FrozenLevelCrossing,1,2.868798948e-16,0.911198657,0.738945906,0.789881932
4,ring,2.788321,2,2,0,FrozenLevelCrossing,1,4.440892099e-16,0.93161239,0.66822465,0.858408684
