s,f,abs_kappa_sq,re_kappa,im_kappa,lambda_s,lambda_f
22,79,5.664479618344634e-35,-5.5121838824940336e-18,5.1245121747361806e-18,-0.17492801361591384,-0.525071986384088
30,71,3.914573845974369e-35,2.713383245230986e-18,-5.63766705510741e-18,-0.1749698412385004,-0.5250301587614995
34,63,3.720874099687841e-35,-5.6112384403274214e-18,2.392225775856095e-18,-0.1749786215507692,-0.5250213784492307
26,74,3.1541703827709784e-35,1.8662214385883588e-18,5.297067242339197e-18,-0.17492801361591576,-0.5250719863840843
33,73,2.1364828722318879e-35,5.233797725957036e-19,4.592483242860724e-18,-0.17496984123850207,-0.525030158761502
40,54,1.8342941622447354e-35,-2.5617410706245537e-18,-3.432262272834451e-18,-0.1999999999999991,-0.5000000000000011
38,66,1.4547465543524523e-35,2.7247342555686832e-18,2.6689490028951647e-18,-0.17497862155077049,-0.5250213784492322
31,69,1.164180579774168e-35,3.2183465951978375e-18,-1.133159737601089e-18,-0.17496984123850093,-0.525030158761499
28,72,6.739178919231737e-36,2.4173545282793467e-18,-9.463487749445626e-19,-0.1749698412384994,-0.5250301587615007
3,4,4.531826001629088e-36,8.999695420587201e-19,-1.9292176717508333e-18,1.837457462963023e-17,-0.4511383699258866
23,76,2.9932161798106647e-36,-1.0037857411449328e-18,1.4091239710134743e-18,-0.1749280136159143,-0.5250719863840856
2,5,9.493267482006159e-37,3.310019163390313e-19,9.163866430609432e-19,5.2716926781037466e-17,-0.45113836992588785
5,6,2.8819483628643468e-37,-2.415598867201705e-19,4.794201262089162e-19,-4.395434040086509e-30,-0.45113836992588796
6,3,7.489827472386557e-38,2.7156577513137576e-19,-3.391613924314824e-20,-2.1182578166494655e-17,-0.4511383699258855
