"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"36","350.0435926961289","248.34298467253473","0.013916015625","0.009765625","0.01806640625","2280","0.00023180631073137692","32","0.00023180631073137692","0","0.00023180631073137692","0.00023180631073137692","41:0.0018373771390132465;21:0.001396537690010552","41:68;21:68","41:0.002895740038832112;21:0.0017522574950993297","0.013916015625","0.010986328125","Yes"
"37","152.33918812162435","30.826461475361153","0.0078125","0.01220703125","0.00341796875","2280","0.0003184454723118661","32","0.0003184454723118661","0","0.0003184454723118661","0.0003184454723118661","45:0.0021286751684076177;25:0.001924223195406638","45:68;25:68","45:0.0022139125853634367;25:0.0021043080217699184","0.0078125","0.0107421875","Yes"
"38","260.7895650995473","124.61274781785849","0.010498046875","0.01953125","0.00146484375","2280","0.00021262713162868054","32","0.00021262713162868054","0","0.00021262713162868054","0.00021262713162868054","29:0.009673148659257641;49:0.002585024457259416","29:68;49:68","29:0.004168117253270653;49:0.0015448419222429122","0.010498046875","0.008544921875","Yes"
"39","170.33011141152141","117.56923817864948","0.01171875","0.01611328125","0.00732421875","2280","0.0002057525419180327","32","0.0002057525419180327","0","0.0002057525419180327","0.0002057525419180327","53:0.0012229215583031972;33:0.002290032579973983","53:68;33:68","53:0.0016193277180142074;33:0.0016249477423891656","0.01171875","0.032470703125","Yes"
"40","283.8874722044015","51.10310148330305","0.009033203125","0.00732421875","0.0107421875","2280","0.00035701717779863877","32","0.00035701717779863877","0","0.00035701717779863877","0.00035701717779863877","41:0.002104612328683836","41:68","41:0.0019010851967445064","0.009033203125","0.052978515625","Yes"
"41","290.73709799089727","45.22454646580554","0.0107421875","0.0087890625","0.0126953125","2280","0.00024917974799520536","32","0.00024917974799520536","0","0.00024917974799520536","0.00024917974799520536","40:0.002104612328683836;42:0.0019931105779545932;36:0.0018373771390132465","40:68;42:68;36:68","40:0.0019010851967445064;42:0.001695188493089833;36:0.002895740038832112","0.0107421875","0.0107421875","Yes"
"42","70.02109257870507","57.121159374040516","0.005859375","0.0107421875","0.0009765625","2280","0.00034580647284898825","32","0.00034580647284898825","0","0.00034580647284898825","0.00034580647284898825","41:0.0019931105779545932;43:0.002356829178019576","41:68;43:68","41:0.001695188493089833;43:0.0021017555312515535","0.005859375","0.006103515625","Yes"
"43","310.78990965426027","44.519917208921925","0.01025390625","0.0146484375","0.005859375","2280","0.00044938695232615714","32","0.00044938695232615714","0","0.00044938695232615714","0.00044938695232615714","42:0.002356829178019576;56:0.00232528457170203;44:0.002071087829511875","42:68;56:68;44:68","42:0.0021017555312515535;56:0.0019788161223156797;44:0.0023133614601741903","0.01025390625","0.010009765625","Yes"
"44","289.03195479913535","284.0302409172893","0.00830078125","0.01513671875","0.00146484375","2280","0.00017732166987168295","32","0.00017732166987168295","0","0.00017732166987168295","0.00017732166987168295","45:0.0020534934687233275;43:0.002071087829511875","45:68;43:68","45:0.0014180530910800626;43:0.0023133614601741903","0.00830078125","0.0029296875","Yes"
"45","283.54301459652174","172.25570737776897","0.00732421875","0.0078125","0.0068359375","2280","0.0003094235888931959","32","0.0003094235888931959","0","0.0003094235888931959","0.0003094235888931959","44:0.0020534934687233275;46:0.0013393078276645043;37:0.0021286751684076177","44:68;46:68;37:68","44:0.0014180530910800626;46:0.001483872047175927;37:0.0022139125853634367","0.00732421875","0.00341796875","Yes"
