"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"47","280.43675698973135","237.49635335882488","0.005859375","0.0078125","0.00390625","2584","0.002354017758889572","36","0.002354017758889572","0","0.002354017758889572","0.002354017758889572","48:0.00893666342113325;57:0.0019864042416448124;46:0.0017507297438628944","48:68;57:68;46:68","48:0.010336836536554678;57:0.005836990015694571;46:0.005779136252802214","0.005859375","Yes"
"48","204.33931558359467","215.43025743239755","0.076171875","0.08740234375","0.06494140625","2584","0.0026514216947316318","36","0.0026514216947316318","0","0.0026514216947316318","0.0026514216947316318","47:0.00893666342113325;49:0.00909237645132982","47:68;49:68","47:0.010336836536554678;49:0.006733117709477376","0.076171875","Yes"
"49","256.42703731310047","252.077763358109","0.008056640625","0.01220703125","0.00390625","2584","0.0007729627769161853","36","0.0007729627769161853","0","0.0007729627769161853","0.0007729627769161853","48:0.00909237645132982;50:0.0019723040970831274;38:0.0028964674758039377","48:68;50:68;38:68","48:0.006733117709477376;50:0.0023938292413069606;38:0.00204082131199404","0.008056640625","Yes"
"50","172.00809946442243","119.76783007529372","0.009765625","0.01513671875","0.00439453125","2584","0.00021187942205939","36","0.00021187942205939","0","0.00021187942205939","0.00021187942205939","49:0.0019723040970831274;51:0.0017575923453897746","49:68;51:68","49:0.0023938292413069606;51:0.0017033560873884745","0.009765625","Yes"
"51","110.76195737117294","140.73463450251504","0.05615234375","0.06884765625","0.04345703125","2584","0.00038153045941303516","36","0.00038153045941303516","0","0.00038153045941303516","0.00038153045941303516","50:0.0017575923453897746;52:0.002450931665065159;58:0.001363578756088224","50:68;52:68;58:68","50:0.0017033560873884745;52:0.0028030337699904984","0.05615234375","Yes"
"52","159.28220686081278","159.84287230618338","0.0185546875","0.03125","0.005859375","2584","0.0003288749338638027","36","0.0003288749338638027","0","0.0003288749338638027","0.0003288749338638027","51:0.002450931665065159;53:0.0022043401345085423","51:68;53:68","51:0.0028030337699904984;53:0.002311675006098468","0.0185546875","Yes"
"53","288.8715550800047","269.54641501053527","0.0146484375","0.01708984375","0.01220703125","2584","0.00044173897398707465","36","0.00044173897398707465","0","0.00044173897398707465","0.00044173897398707465","39:0.001769926133037475;52:0.0022043401345085423;54:0.0011924389822736137","39:68;52:68;54:68","39:0.001318033236314825;52:0.002311675006098468;54:0.0012860952808283754","0.0146484375","Yes"
"54","261.73417945058173","283.3796979970594","0.0048828125","0.0048828125","0.0048828125","2584","0.0001684598969720101","36","0.0001684598969720101","0","0.0001684598969720101","0.0001684598969720101","53:0.0011924389822736137;55:0.00185342217104284","53:68;55:68","53:0.0012860952808283754;55:0.0017296975354860744","0.0048828125","Yes"
"55","238.99234819102543","70.98013297743323","0.018798828125","0.02099609375","0.0166015625","2584","0.00019844981147331976","36","0.00019844981147331976","0","0.00019844981147331976","0.00019844981147331976","59:0.002282441499452059;54:0.00185342217104284","59:68;54:68","59:0.0019366380988135312;54:0.0017296975354860744","0.018798828125","Yes"
"56","229.46843529078058","34.578841193560905","0.03076171875","0.03564453125","0.02587890625","2584","0.0004360383811046559","36","0.0004360383811046559","0","0.0004360383811046559","0.0004360383811046559","63:0.0023224800707319915;43:0.0019302744822917162","63:68;43:68","63:0.002246013316583362;43:0.0016874384515448149","0.03076171875","Yes"
"57","174.71622524465172","74.52818654668987","0.013671875","0.02001953125","0.00732421875","2584","0.00048348648781874404","36","0.00048348648781874404","0","0.00048348648781874404","0.00048348648781874404","47:0.0019864042416448124;67:0.002776679453128844","47:68;67:68","47:0.005836990015694571;67:0.0030884722914080454","0.013671875","Yes"
"58","145.90868934851812","110.67130909950687","0.025634765625","0.03076171875","0.0205078125","2584","0.0003164947708216132","36","0.0003164947708216132","0","0.0003164947708216132","0.0003164947708216132","71:0.00197554341988479;51:0.001363578756088224","71:68;51:68","71:0.00736917313805216","0.025634765625","Yes"
"59","113.30980636939833","134.00524925256462","0.013427734375","0.02001953125","0.0068359375","2584","0.0002872088809443866","36","0.0002872088809443866","0","0.0002872088809443866","0.0002872088809443866","55:0.002282441499452059;75:0.001711224961140484","55:68;75:68","55:0.0019366380988135312;75:0.0018436766950241656","0.013427734375","Yes"
"60","87.45520482166283","63.96628788853276","0.007080078125","0.01318359375","0.0009765625","2584","0.0014591757366053258","36","0.0014591757366053258","0","0.0014591757366053258","0.0014591757366053258","61:0.008358020209121908","61:80","61:0.025218141067556626","0.007080078125","Yes"
"61","298.9750927811959","275.37119453104935","0.010986328125","0.015625","0.00634765625","2584","0.00030741020914684414","36","0.00030741020914684414","0","0.00030741020914684414","0.00030741020914684414","76:0.005296960625764124;60:0.008358020209121908","76:68;60:80;62:68","76:0.004591796508465001;60:0.025218141067556626","0.010986328125","Yes"
"62","148.44872566252593","80.88895103008248","0.009521484375","0.01025390625","0.0087890625","2584","0.00036742101497084443","36","0.00036742101497084443","0","0.00036742101497084443","0.00036742101497084443","63:0.0015932458584470288","61:68;63:68","63:0.0017106591157773354","0.009521484375","Yes"
"63","155.11429208665467","182.82347496216366","0.059326171875","0.08349609375","0.03515625","2584","0.0002773781170753861","36","0.0002773781170753861","0","0.0002773781170753861","0.0002773781170753861","56:0.0023224800707319915;62:0.0015932458584470288;64:0.002076078533539083","56:68;62:68;64:68","56:0.002246013316583362;62:0.0017106591157773354;64:0.003204515188599988","0.059326171875","Yes"
"64","282.03596303341646","108.59206632196485","0.008544921875","0.01318359375","0.00390625","2584","0.0008149101107530497","36","0.0008149101107530497","0","0.0008149101107530497","0.0008149101107530497","65:0.003215159482607366;63:0.002076078533539083","65:68;63:68","65:0.0029023431641289066;63:0.003204515188599988","0.008544921875","Yes"
"65","216.86699405700378","67.80216265548802","0.033935546875","0.04296875","0.02490234375","2584","0.0003357370873496825","36","0.0003357370873496825","0","0.0003357370873496825","0.0003357370873496825","64:0.003215159482607366;66:0.003159508651159937;77:0.003275377600938739","64:68;66:68;77:68","64:0.0029023431641289066;66:0.002339577048654895;77:0.004067327237996132","0.033935546875","Yes"
"66","128.5412784533181","94.03854776227753","0.044921875","0.06103515625","0.02880859375","2584","0.00036434798035163456","36","0.00036434798035163456","0","0.00036434798035163456","0.00036434798035163456","65:0.003159508651159937;67:0.0023345590594056886","65:68;67:68","65:0.002339577048654895;67:0.0021378681060728877","0.044921875","Yes"
"67","297.4949692206009","101.69614296100282","0.0126953125","0.0205078125","0.0048828125","2584","0.00021223337464564015","36","0.00021223337464564015","0","0.00021223337464564015","0.00021223337464564015","68:0.0039604159948721795;57:0.002776679453128844;66:0.0023345590594056886","68:68;57:68;66:68","68:0.004476626190314914;57:0.0030884722914080454;66:0.0021378681060728877","0.0126953125","Yes"
"68","114.08037266299692","23.735397408660557","0.017822265625","0.02587890625","0.009765625","2584","0.0007760920199517968","36","0.0007760920199517968","0","0.0007760920199517968","0.0007760920199517968","67:0.0039604159948721795;69:0.002529068056009942","67:68;69:68","67:0.004476626190314914;69:0.0031812881779512414","0.017822265625","Yes"
"69","168.53844426142413","18.144446294208265","0.02783203125","0.033203125","0.0224609375","2584","0.0002658168058742908","36","0.0002658168058742908","0","0.0002658168058742908","0.0002658168058742908","78:0.001835998807196898;68:0.002529068056009942;70:0.0017759082673373117","78:68;68:68;70:80","78:0.00172800559230335;68:0.0031812881779512414;70:0.001532145472009333","0.02783203125","Yes"
"70","145.04742680654073","21.222971989241376","0.008544921875","0.013671875","0.00341796875","2584","0.0002587108903965914","36","0.0002587108903965914","0","0.0002587108903965914","0.0002587108903965914","69:0.0017759082673373117;71:0.002169097201653314","69:80;71:68","69:0.001532145472009333;71:0.0016581985717144254","0.008544921875","Yes"
"71","193.89853521652594","254.584279866223","0.02197265625","0.0166015625","0.02734375","2584","0.0003626404752458427","36","0.0003626404752458427","0","0.0003626404752458427","0.0003626404752458427","72:0.003889468160606646;58:0.00197554341988479;70:0.002169097201653314","72:68;58:68;70:68","72:0.003217008908100283;58:0.00736917313805216;70:0.0016581985717144254","0.02197265625","Yes"
"72","133.69838501047474","35.16677257107267","0.019775390625","0.0361328125","0.00341796875","2584","0.0006234836253561563","36","0.0006234836253561563","0","0.0006234836253561563","0.0006234836253561563","73:0.0050252421543957315;71:0.003889468160606646","73:68;71:68","73:0.0037265694901630064;71:0.003217008908100283","0.019775390625","Yes"
"73","201.26372628162113","109.92056372115684","0.01318359375","0.0205078125","0.005859375","2584","0.0005305184036156073","36","0.0005305184036156073","0","0.0005305184036156073","0.0005305184036156073","72:0.0050252421543957315;74:0.003350635629234794;79:0.002398307979135733","72:68;74:68;79:68","72:0.0037265694901630064;74:0.0032060715228549586;79:0.0030400515658465244","0.01318359375","Yes"
"74","98.41081880349303","16.61746976894569","0.017333984375","0.02392578125","0.0107421875","2584","0.0002941053410412214","36","0.0002941053410412214","0","0.0002941053410412214","0.0002941053410412214","73:0.003350635629234794;75:0.002365548795834449","73:68;75:68","73:0.0032060715228549586;75:0.0024317919707729507","0.017333984375","Yes"
"75","198.54763959847148","146.47089049981773","0.007080078125","0.009765625","0.00439453125","2584","0.00019181700462137788","36","0.00019181700462137788","0","0.00019181700462137788","0.00019181700462137788","59:0.001711224961140484;74:0.002365548795834449","59:68;74:68","59:0.0018436766950241656;74:0.0024317919707729507","0.007080078125","Yes"
"76","70.48087434699413","56.198022075672995","0.013671875","0.0205078125","0.0068359375","2584","0.00035023043166066217","36","0.00035023043166066217","0","0.00035023043166066217","0.00035023043166066217","81:0.004059526387110379;61:0.005296960625764124","81:68;61:68","81:0.004219614424327195;61:0.004591796508465001","0.013671875","Yes"
"77","181.33810225424003","115.11577707647","0.00927734375","0.013671875","0.0048828125","2584","0.0004169431523575634","36","0.0004169431523575634","0","0.0004169431523575634","0.0004169431523575634","85:0.003878387818149337;65:0.003275377600938739","85:68;65:68","85:0.004799338322988372;65:0.004067327237996132","0.00927734375","Yes"
"78","143.47352491068196","121.31468017864093","0.005859375","0.00732421875","0.00439453125","2584","0.00035402811522723427","36","0.00035402811522723427","0","0.00035402811522723427","0.00035402811522723427","69:0.001835998807196898;89:0.002789770827626714","69:68;89:68","69:0.00172800559230335;89:0.002168666237942346","0.005859375","Yes"
"79","52.253248252983354","21.511177858453436","0.0927734375","0.09228515625","0.09326171875","2584","0.0003465113895958183","36","0.0003465113895958183","0","0.0003465113895958183","0.0003465113895958183","93:0.001880053693984085;73:0.002398307979135733","93:68;73:68","93:0.0025517934645888918;73:0.0030400515658465244","0.0927734375","Yes"
"80","161.88705584067216","40.102951349473926","0.0078125","0.0126953125","0.0029296875","2584","0.00028470556000242194","36","0.00028470556000242194","0","0.00028470556000242194","0.00028470556000242194","81:0.0046755553589289955","81:68","81:0.002317681175256825","0.0078125","Yes"
