=== TEMPORAL SACRIFICE PROTOCOL ===
Edge -> Center switch sweep at N=7
Phase 1: [0.344, 0.001x6], Phase 2: [0.001x3, 0.344, 0.001x3]
Baselines: Edge SumMI=0.4076 PeakMI=0.0364 PeakT=2.00 | Center SumMI=0.1818 PeakMI=0.1089 PeakT=1.00

--- t_switch=0.5 ---
T=7.00 SumMI=0.017916 PeakMI=0.007582 Phase=2
T=7.50 SumMI=0.017355 PeakMI=0.005046 Phase=2
T=8.00 SumMI=0.016557 PeakMI=0.007299 Phase=2
T=8.50 SumMI=0.016502 PeakMI=0.008259 Phase=2
T=9.00 SumMI=0.014854 PeakMI=0.010262 Phase=2
T=9.50 SumMI=0.010789 PeakMI=0.009437 Phase=2
T=10.00 SumMI=0.008538 PeakMI=0.011162 Phase=2
T=10.50 SumMI=0.008606 PeakMI=0.012003 Phase=2
T=11.00 SumMI=0.007893 PeakMI=0.011090 Phase=2
T=11.50 SumMI=0.006413 PeakMI=0.009070 Phase=2
T=12.00 SumMI=0.005947 PeakMI=0.010088 Phase=2
T=12.50 SumMI=0.006043 PeakMI=0.011018 Phase=2
T=13.00 SumMI=0.005758 PeakMI=0.011439 Phase=2
T=13.50 SumMI=0.004864 PeakMI=0.010048 Phase=2
T=14.00 SumMI=0.004251 PeakMI=0.009704 Phase=2
T=14.50 SumMI=0.004073 PeakMI=0.009380 Phase=2
T=15.00 SumMI=0.003773 PeakMI=0.009627 Phase=2
T=15.50 SumMI=0.003306 PeakMI=0.009243 Phase=2
T=16.00 SumMI=0.003040 PeakMI=0.008846 Phase=2
T=16.50 SumMI=0.002851 PeakMI=0.008243 Phase=2
T=17.00 SumMI=0.002741 PeakMI=0.008809 Phase=2
T=17.50 SumMI=0.002649 PeakMI=0.009237 Phase=2
T=18.00 SumMI=0.002595 PeakMI=0.008951 Phase=2
T=18.50 SumMI=0.002458 PeakMI=0.007963 Phase=2
T=19.00 SumMI=0.002363 PeakMI=0.007961 Phase=2
T=19.50 SumMI=0.002389 PeakMI=0.008656 Phase=2
T=20.00 SumMI=0.002394 PeakMI=0.008667 Phase=2
RESULT SumMI=0.407596 PeakMI=0.039157 PeakT=2.00 SwitchT=2.50

--- t_switch=3.0 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.407596 PeakMI=0.006464 Phase=1
T=2.50 SumMI=0.356491 PeakMI=0.010113 Phase=1
T=3.00 SumMI=0.284463 PeakMI=0.013558 Phase=1
T=3.50 SumMI=0.194960 PeakMI=0.014831 Phase=2
T=4.00 SumMI=0.167367 PeakMI=0.009069 Phase=2
T=4.50 SumMI=0.094407 PeakMI=0.016726 Phase=2
T=5.00 SumMI=0.052586 PeakMI=0.031459 Phase=2
T=5.50 SumMI=0.046514 PeakMI=0.037548 Phase=2
T=6.00 SumMI=0.036337 PeakMI=0.032379 Phase=2
T=6.50 SumMI=0.024262 PeakMI=0.022351 Phase=2
T=7.00 SumMI=0.021318 PeakMI=0.009799 Phase=2
T=7.50 SumMI=0.021877 PeakMI=0.003059 Phase=2
T=8.00 SumMI=0.020609 PeakMI=0.003912 Phase=2
T=8.50 SumMI=0.019516 PeakMI=0.005481 Phase=2
T=9.00 SumMI=0.018311 PeakMI=0.005595 Phase=2
T=9.50 SumMI=0.014966 PeakMI=0.005850 Phase=2
T=10.00 SumMI=0.011134 PeakMI=0.007031 Phase=2
T=10.50 SumMI=0.010183 PeakMI=0.009199 Phase=2
T=11.00 SumMI=0.010341 PeakMI=0.008843 Phase=2
T=11.50 SumMI=0.008572 PeakMI=0.007143 Phase=2
T=12.00 SumMI=0.006976 PeakMI=0.006700 Phase=2
T=12.50 SumMI=0.006564 PeakMI=0.007840 Phase=2
T=13.00 SumMI=0.006758 PeakMI=0.008825 Phase=2
T=13.50 SumMI=0.005949 PeakMI=0.007923 Phase=2
T=14.00 SumMI=0.004899 PeakMI=0.006798 Phase=2
T=14.50 SumMI=0.004436 PeakMI=0.006393 Phase=2
T=15.00 SumMI=0.004296 PeakMI=0.006811 Phase=2
T=15.50 SumMI=0.003769 PeakMI=0.006873 Phase=2
T=16.00 SumMI=0.003315 PeakMI=0.006228 Phase=2
T=16.50 SumMI=0.002967 PeakMI=0.005463 Phase=2
T=17.00 SumMI=0.002780 PeakMI=0.005829 Phase=2
T=17.50 SumMI=0.002661 PeakMI=0.006680 Phase=2
T=18.00 SumMI=0.002624 PeakMI=0.006731 Phase=2
T=18.50 SumMI=0.002492 PeakMI=0.005712 Phase=2
T=19.00 SumMI=0.002375 PeakMI=0.005368 Phase=2
T=19.50 SumMI=0.002361 PeakMI=0.006046 Phase=2
T=20.00 SumMI=0.002507 PeakMI=0.006652 Phase=2
RESULT SumMI=0.407596 PeakMI=0.037548 PeakT=2.00 SwitchT=3.00

--- t_switch=3.5 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.407596 PeakMI=0.006464 Phase=1
T=2.50 SumMI=0.356491 PeakMI=0.010113 Phase=1
T=3.00 SumMI=0.284463 PeakMI=0.013558 Phase=1
T=3.50 SumMI=0.221703 PeakMI=0.010922 Phase=1
T=4.00 SumMI=0.173437 PeakMI=0.014012 Phase=2
T=4.50 SumMI=0.142220 PeakMI=0.021312 Phase=2
T=5.00 SumMI=0.083814 PeakMI=0.025983 Phase=2
T=5.50 SumMI=0.053293 PeakMI=0.038056 Phase=2
T=6.00 SumMI=0.042737 PeakMI=0.031584 Phase=2
T=6.50 SumMI=0.038054 PeakMI=0.023759 Phase=2
T=7.00 SumMI=0.029931 PeakMI=0.014951 Phase=2
T=7.50 SumMI=0.026239 PeakMI=0.004723 Phase=2
T=8.00 SumMI=0.025896 PeakMI=0.002516 Phase=2
T=8.50 SumMI=0.023945 PeakMI=0.002751 Phase=2
T=9.00 SumMI=0.021441 PeakMI=0.003542 Phase=2
T=9.50 SumMI=0.018670 PeakMI=0.002938 Phase=2
T=10.00 SumMI=0.015124 PeakMI=0.004437 Phase=2
T=10.50 SumMI=0.013071 PeakMI=0.005880 Phase=2
T=11.00 SumMI=0.012293 PeakMI=0.006831 Phase=2
T=11.50 SumMI=0.011285 PeakMI=0.005872 Phase=2
T=12.00 SumMI=0.009318 PeakMI=0.005605 Phase=2
T=12.50 SumMI=0.007925 PeakMI=0.005421 Phase=2
T=13.00 SumMI=0.007579 PeakMI=0.006424 Phase=2
T=13.50 SumMI=0.007285 PeakMI=0.006031 Phase=2
T=14.00 SumMI=0.006221 PeakMI=0.005347 Phase=2
T=14.50 SumMI=0.005353 PeakMI=0.004400 Phase=2
T=15.00 SumMI=0.004883 PeakMI=0.004513 Phase=2
T=15.50 SumMI=0.004455 PeakMI=0.004626 Phase=2
T=16.00 SumMI=0.003926 PeakMI=0.004441 Phase=2
T=16.50 SumMI=0.003433 PeakMI=0.003626 Phase=2
T=17.00 SumMI=0.003078 PeakMI=0.003705 Phase=2
T=17.50 SumMI=0.002859 PeakMI=0.004225 Phase=2
T=18.00 SumMI=0.002764 PeakMI=0.004724 Phase=2
T=18.50 SumMI=0.002687 PeakMI=0.004127 Phase=2
T=19.00 SumMI=0.002581 PeakMI=0.003773 Phase=2
T=19.50 SumMI=0.002555 PeakMI=0.004005 Phase=2
T=20.00 SumMI=0.002640 PeakMI=0.004569 Phase=2
RESULT SumMI=0.407596 PeakMI=0.038056 PeakT=2.00 SwitchT=3.50

--- t_switch=4.0 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.407596 PeakMI=0.006464 Phase=1
T=2.50 SumMI=0.356491 PeakMI=0.010113 Phase=1
T=3.00 SumMI=0.284463 PeakMI=0.013558 Phase=1
T=3.50 SumMI=0.221703 PeakMI=0.010922 Phase=1
T=4.00 SumMI=0.193935 PeakMI=0.011785 Phase=1
