edge	angle_deg	verdict	pairing_error	rate_error
field	60.0000	Hard	3.001406E-001	4.992972E-002
frustration	60.0000	Hard	3.003051E-002	3.003051E-002
field	60.5000	Hard	3.031467E-001	4.842666E-002
frustration	60.5000	Hard	2.984845E-002	2.984845E-002
field	61.0000	Hard	3.061213E-001	4.693934E-002
frustration	61.0000	Hard	2.966149E-002	2.966149E-002
field	61.5000	Hard	3.090635E-001	4.546823E-002
frustration	61.5000	Hard	2.946904E-002	2.946904E-002
field	62.0000	Hard	3.119724E-001	4.401378E-002
frustration	62.0000	Hard	2.927049E-002	2.927049E-002
field	62.5000	Hard	3.148472E-001	4.257641E-002
frustration	62.5000	Hard	2.906517E-002	2.906517E-002
field	63.0000	Hard	3.176869E-001	4.115657E-002
frustration	63.0000	Hard	2.885240E-002	2.885240E-002
field	63.5000	Hard	3.204906E-001	3.975469E-002
frustration	63.5000	Hard	2.863146E-002	2.863146E-002
field	64.0000	Hard	3.232576E-001	3.837120E-002
frustration	64.0000	Hard	2.840160E-002	2.840160E-002
field	64.5000	Hard	3.259870E-001	3.700651E-002
frustration	64.5000	Hard	2.816206E-002	2.816206E-002
field	65.0000	Hard	3.286779E-001	3.566104E-002
frustration	65.0000	Hard	2.791207E-002	2.791207E-002
field	65.5000	Hard	3.313296E-001	3.433520E-002
frustration	65.5000	Hard	2.765084E-002	2.765084E-002
field	66.0000	Hard	3.339412E-001	3.302939E-002
frustration	66.0000	Hard	2.737758E-002	2.737758E-002
field	66.5000	Hard	3.365120E-001	3.174400E-002
frustration	66.5000	Hard	2.709151E-002	2.709151E-002
field	67.0000	Hard	3.390412E-001	3.047942E-002
frustration	67.0000	Hard	2.679186E-002	2.679186E-002
field	67.5000	Hard	3.415279E-001	2.923604E-002
frustration	67.5000	Hard	2.647791E-002	2.647791E-002
field	68.0000	Hard	3.439715E-001	2.801423E-002
frustration	68.0000	Hard	2.614895E-002	2.614895E-002
field	68.5000	Hard	3.463713E-001	2.681436E-002
frustration	68.5000	Hard	2.580433E-002	2.580433E-002
field	69.0000	Hard	3.487264E-001	2.563680E-002
frustration	69.0000	Hard	2.544348E-002	2.544348E-002
field	69.5000	Hard	3.510362E-001	2.448190E-002
frustration	69.5000	Hard	2.506590E-002	2.506590E-002
field	70.0000	Hard	3.533000E-001	2.335002E-002
frustration	70.0000	Hard	2.467117E-002	2.467117E-002
field	70.5000	Hard	3.555170E-001	2.224148E-002
frustration	70.5000	Hard	2.425900E-002	2.425900E-002
field	71.0000	Hard	3.576867E-001	2.115663E-002
frustration	71.0000	Hard	2.382921E-002	2.382921E-002
field	71.5000	Hard	3.598084E-001	2.009580E-002
frustration	71.5000	Hard	2.338176E-002	2.338176E-002
field	72.0000	Hard	3.618814E-001	1.905930E-002
frustration	72.0000	Hard	2.291675E-002	2.291675E-002
field	72.5000	Hard	3.639051E-001	1.804745E-002
frustration	72.5000	Hard	2.243444E-002	2.243444E-002
field	73.0000	Hard	3.658789E-001	1.706056E-002
frustration	73.0000	Hard	2.193524E-002	2.193524E-002
field	73.5000	Hard	3.678022E-001	1.609891E-002
frustration	73.5000	Hard	2.141974E-002	2.141974E-002
field	74.0000	Hard	3.696744E-001	1.516281E-002
frustration	74.0000	Hard	2.088870E-002	2.088870E-002
field	74.5000	Hard	3.714949E-001	1.425254E-002
frustration	74.5000	Hard	2.034303E-002	2.034303E-002
field	75.0000	Hard	3.732633E-001	1.336836E-002
frustration	75.0000	Hard	1.978379E-002	1.978379E-002
field	75.5000	Hard	3.749789E-001	1.251054E-002
frustration	75.5000	Hard	1.921219E-002	1.921219E-002
field	76.0000	Hard	3.766413E-001	1.167935E-002
frustration	76.0000	Hard	1.862956E-002	1.862956E-002
field	76.5000	Hard	3.782499E-001	1.087504E-002
frustration	76.5000	Hard	1.803734E-002	1.803734E-002
field	77.0000	Hard	3.798043E-001	1.009784E-002
frustration	77.0000	Hard	1.743704E-002	1.743704E-002
field	77.5000	Hard	3.813040E-001	9.347985E-003
frustration	77.5000	Hard	1.683020E-002	1.683020E-002
field	78.0000	Hard	3.827486E-001	8.625710E-003
frustration	78.0000	Hard	2.029455E-002	1.621839E-002
field	78.5000	Hard	3.841375E-001	7.931228E-003
frustration	78.5000	Hard	1.560312E-002	1.560312E-002
field	79.0000	Hard	3.854705E-001	7.264748E-003
frustration	79.0000	Hard	1.498581E-002	1.498581E-002
field	79.5000	Hard	3.867471E-001	6.626471E-003
frustration	79.5000	Hard	1.436774E-002	1.436774E-002
field	80.0000	Hard	3.879668E-001	6.016588E-003
frustration	80.0000	Hard	1.374995E-002	1.374995E-002
field	80.5000	Hard	3.891294E-001	5.435283E-003
frustration	80.5000	Hard	1.398488E-002	1.313317E-002
field	81.0000	Hard	3.902345E-001	4.882730E-003
frustration	81.0000	Hard	1.439117E-002	1.390066E-002
field	81.5000	Hard	3.912818E-001	4.359097E-003
frustration	81.5000	Hard	1.481073E-002	1.481073E-002
field	82.0000	Hard	3.922709E-001	3.864539E-003
frustration	82.0000	Hard	1.524269E-002	1.524269E-002
field	82.5000	Hard	3.932016E-001	3.399206E-003
