# two-coast protection landscape, recomputed from below by simulations/two_coast_sweep.py
# N=4 gamma=0.05 sigma=0.2 Z-dephasing on every site, no bond terms
# field:       H(theta) = sum_l (cos theta X_l + sin theta Z_l)
# frustration: H(phi) = sum_w (cos phi XIX + sin phi XXX + XXY + YXX), 3-site windows
# pairing_true = optimal (bottleneck) worst-partner distance for lambda -> -lambda-2sigma
# rate_error / freq_error = the same test on the real / imaginary parts alone
# verdict = the C# classifier's (greedy metric, threshold 1e-6), carried over from simulations/results/tilt_sweep_csharp.tsv
# angle_deg is that file's grid, rounded to 4 decimals; nine small angles are a radian
#   ladder (1e-4 to 5e-2 rad) and were evaluated at their exact value, not the rounded one
# the two angle-0 rows are the protected point: every column there is eigensolver noise
edge	angle_deg	verdict	pairing_true	rate_error	freq_error
frustration	0.0573	Hard	8.109959E-05	2.046170E-05	4.263256E-14
frustration	0.1146	Hard	2.374265E-04	8.267733E-05	4.218847E-14
frustration	0.2865	Hard	1.750050E-03	9.577652E-04	7.638334E-14
frustration	0.5000	Hard	2.133489E-03	1.557471E-03	4.884981E-14
frustration	0.5730	Hard	1.955666E-03	1.082286E-03	3.375078E-14
frustration	1.0000	Hard	3.072507E-03	1.326767E-03	5.062617E-14
frustration	1.1459	Hard	3.897764E-03	2.320289E-03	5.506706E-14
frustration	1.5000	Hard	5.589252E-03	4.581190E-03	5.240253E-14
frustration	2.0000	Hard	6.738826E-03	4.480094E-03	4.884981E-14
frustration	2.5000	Hard	7.485209E-03	4.604365E-03	4.085621E-14
frustration	2.8648	Hard	7.542123E-03	3.505631E-03	4.884981E-14
frustration	3.0000	Hard	7.504192E-03	4.809665E-03	5.506706E-14
frustration	3.5000	Hard	7.187696E-03	5.929495E-03	7.904788E-14
frustration	4.0000	Hard	6.663365E-03	6.103899E-03	1.225686E-13
frustration	4.5000	Hard	7.291342E-03	7.291342E-03	5.950795E-14
frustration	5.0000	Hard	8.465521E-03	8.465521E-03	4.174439E-14
frustration	5.5000	Hard	9.607537E-03	9.607537E-03	5.240253E-14
frustration	6.0000	Hard	1.070503E-02	1.070503E-02	3.952394E-14
frustration	6.5000	Hard	1.175119E-02	1.175119E-02	5.240253E-14
frustration	7.0000	Hard	1.274354E-02	1.274354E-02	6.572520E-14
frustration	7.5000	Hard	1.368263E-02	1.368263E-02	5.595524E-14
frustration	8.0000	Hard	1.457100E-02	1.457100E-02	5.861978E-14
frustration	8.5000	Hard	1.541232E-02	1.541232E-02	6.483702E-14
frustration	9.0000	Hard	1.621076E-02	1.621076E-02	5.506706E-14
frustration	9.5000	Hard	1.697057E-02	1.697057E-02	4.973799E-14
frustration	10.0000	Hard	1.769584E-02	1.769584E-02	6.572520E-14
frustration	10.5000	Hard	1.839035E-02	1.839035E-02	4.574119E-14
frustration	11.0000	Hard	1.905746E-02	1.905746E-02	3.730349E-14
frustration	11.5000	Hard	1.970010E-02	1.970010E-02	7.904788E-14
frustration	12.0000	Hard	2.032079E-02	2.032079E-02	4.707346E-14
frustration	12.5000	Hard	2.092163E-02	2.092163E-02	5.506706E-14
frustration	13.0000	Hard	2.150437E-02	2.150437E-02	6.039613E-14
frustration	13.5000	Hard	2.207045E-02	2.207045E-02	3.641532E-14
frustration	14.0000	Hard	2.262100E-02	2.262100E-02	6.661338E-14
frustration	14.5000	Hard	2.315696E-02	2.315696E-02	3.641532E-14
frustration	15.0000	Hard	2.367906E-02	2.367906E-02	5.151435E-14
frustration	15.5000	Hard	2.418788E-02	2.418788E-02	6.394885E-14
frustration	16.0000	Hard	2.468390E-02	2.468390E-02	7.638334E-14
frustration	16.5000	Hard	2.516747E-02	2.516747E-02	6.039613E-14
frustration	17.0000	Hard	2.563892E-02	2.563892E-02	5.062617E-14
frustration	17.5000	Hard	2.609848E-02	2.609848E-02	4.618528E-14
frustration	18.0000	Hard	2.654638E-02	2.654638E-02	7.549517E-14
frustration	18.5000	Hard	2.698279E-02	2.698279E-02	1.296740E-13
frustration	19.0000	Hard	2.740786E-02	2.740786E-02	4.085621E-14
frustration	19.5000	Hard	2.782171E-02	2.782171E-02	7.993606E-14
frustration	20.0000	Hard	2.822446E-02	2.822446E-02	4.707346E-14
frustration	20.5000	Hard	2.861619E-02	2.861619E-02	5.506706E-14
frustration	21.0000	Hard	2.899698E-02	2.899698E-02	5.329071E-14
frustration	21.5000	Hard	2.936687E-02	2.936687E-02	6.661338E-14
frustration	22.0000	Hard	2.972590E-02	2.972590E-02	5.506706E-14
frustration	22.5000	Hard	3.007409E-02	3.007409E-02	4.973799E-14
frustration	23.0000	Hard	3.041146E-02	3.041146E-02	8.171241E-14
frustration	23.5000	Hard	3.073798E-02	3.073798E-02	6.572520E-14
frustration	24.0000	Hard	3.105365E-02	3.105365E-02	5.684342E-14
frustration	24.5000	Hard	3.135842E-02	3.135842E-02	4.263256E-14
frustration	25.0000	Hard	3.165225E-02	3.165225E-02	6.128431E-14
frustration	25.5000	Hard	3.193510E-02	3.193510E-02	4.085621E-14
frustration	26.0000	Hard	3.220691E-02	3.220691E-02	4.529710E-14
frustration	26.5000	Hard	3.246762E-02	3.246762E-02	5.151435E-14
frustration	27.0000	Hard	3.271716E-02	3.271716E-02	6.661338E-14
frustration	27.5000	Hard	3.295547E-02	3.295547E-02	5.950795E-14
frustration	28.0000	Hard	3.318248E-02	3.318248E-02	8.260059E-14
frustration	28.5000	Hard	3.339814E-02	3.339814E-02	3.330669E-14
frustration	29.0000	Hard	3.360238E-02	3.360238E-02	5.329071E-14
frustration	29.5000	Hard	3.379516E-02	3.379516E-02	7.815970E-14
frustration	30.0000	Hard	3.397643E-02	3.397643E-02	6.572520E-14
frustration	30.5000	Hard	3.414616E-02	3.414616E-02	4.440892E-14
frustration	31.0000	Hard	3.430432E-02	3.430432E-02	6.128431E-14
frustration	31.5000	Hard	3.445091E-02	3.445091E-02	5.950795E-14
frustration	32.0000	Hard	3.458594E-02	3.458594E-02	5.950795E-14
frustration	32.5000	Hard	3.470941E-02	3.470941E-02	3.819167E-14
frustration	33.0000	Hard	3.482137E-02	3.482137E-02	6.128431E-14
frustration	33.5000	Hard	3.492187E-02	3.492187E-02	4.263256E-14
frustration	34.0000	Hard	3.501098E-02	3.501098E-02	5.329071E-14
frustration	34.5000	Hard	3.508879E-02	3.508879E-02	6.572520E-14
frustration	35.0000	Hard	3.515540E-02	3.515540E-02	5.595524E-14
frustration	35.5000	Hard	3.521095E-02	3.521095E-02	3.019807E-14
frustration	36.0000	Hard	3.525557E-02	3.525557E-02	8.348877E-14
frustration	36.5000	Hard	3.528945E-02	3.528945E-02	4.973799E-14
frustration	37.0000	Hard	3.531275E-02	3.531275E-02	3.819167E-14
frustration	37.5000	Hard	3.532570E-02	3.532570E-02	3.952394E-14
frustration	38.0000	Hard	3.532852E-02	3.532852E-02	4.085621E-14
frustration	38.5000	Hard	3.532145E-02	3.532145E-02	9.769963E-14
frustration	39.0000	Hard	3.530475E-02	3.530475E-02	5.950795E-14
frustration	39.5000	Hard	3.527870E-02	3.527870E-02	6.128431E-14
frustration	40.0000	Hard	3.524361E-02	3.524361E-02	8.082424E-14
frustration	40.5000	Hard	3.519978E-02	3.519978E-02	6.039613E-14
frustration	41.0000	Hard	3.514754E-02	3.514754E-02	5.506706E-14
frustration	41.5000	Hard	3.508722E-02	3.508722E-02	6.572520E-14
frustration	42.0000	Hard	3.501918E-02	3.501918E-02	4.263256E-14
frustration	42.5000	Hard	3.494377E-02	3.494377E-02	5.950795E-14
frustration	43.0000	Hard	3.486136E-02	3.486136E-02	5.506706E-14
frustration	43.5000	Hard	3.477233E-02	3.477233E-02	6.750156E-14
frustration	44.0000	Hard	3.467706E-02	3.467706E-02	6.750156E-14
frustration	44.5000	Hard	3.457591E-02	3.457591E-02	7.993606E-14
frustration	45.0000	Hard	3.446928E-02	3.446928E-02	4.085621E-14
frustration	45.5000	Hard	3.435754E-02	3.435754E-02	5.773160E-14
frustration	46.0000	Hard	3.424107E-02	3.424107E-02	8.526513E-14
frustration	46.5000	Hard	3.412023E-02	3.412023E-02	5.506706E-14
frustration	47.0000	Hard	3.399539E-02	3.399539E-02	4.618528E-14
frustration	47.5000	Hard	3.386689E-02	3.386689E-02	5.551115E-14
frustration	48.0000	Hard	3.373507E-02	3.373507E-02	2.930989E-14
frustration	48.5000	Hard	3.360025E-02	3.360025E-02	6.750156E-14
frustration	49.0000	Hard	3.346274E-02	3.346274E-02	4.440892E-14
frustration	49.5000	Hard	3.332283E-02	3.332283E-02	7.904788E-14
frustration	50.0000	Hard	3.318077E-02	3.318077E-02	7.283063E-14
frustration	50.5000	Hard	3.303681E-02	3.303681E-02	6.927792E-14
frustration	51.0000	Hard	3.289116E-02	3.289116E-02	3.641532E-14
frustration	51.5000	Hard	3.274401E-02	3.274401E-02	6.128431E-14
frustration	52.0000	Hard	3.259552E-02	3.259552E-02	5.062617E-14
frustration	52.5000	Hard	3.244582E-02	3.244582E-02	5.595524E-14
frustration	53.0000	Hard	3.229500E-02	3.229500E-02	7.194245E-14
frustration	53.5000	Hard	3.214311E-02	3.214311E-02	7.016610E-14
frustration	54.0000	Hard	3.199020E-02	3.199020E-02	6.394885E-14
frustration	54.5000	Hard	3.183624E-02	3.183624E-02	8.171241E-14
frustration	55.0000	Hard	3.168118E-02	3.168118E-02	6.661338E-14
frustration	55.5000	Hard	3.152495E-02	3.152495E-02	4.263256E-14
frustration	56.0000	Hard	3.136739E-02	3.136739E-02	5.861978E-14
frustration	56.5000	Hard	3.120836E-02	3.120836E-02	3.197442E-14
frustration	57.0000	Hard	3.104763E-02	3.104763E-02	4.174439E-14
frustration	57.5000	Hard	3.088495E-02	3.088495E-02	6.927792E-14
frustration	58.0000	Hard	3.072003E-02	3.072003E-02	4.174439E-14
frustration	58.5000	Hard	3.055253E-02	3.055253E-02	6.306067E-14
frustration	59.0000	Hard	3.038206E-02	3.038206E-02	7.016610E-14
frustration	59.5000	Hard	3.020821E-02	3.020821E-02	5.506706E-14
frustration	60.0000	Hard	3.003051E-02	3.003051E-02	6.838974E-14
frustration	60.5000	Hard	2.984845E-02	2.984845E-02	6.927792E-14
frustration	61.0000	Hard	2.966149E-02	2.966149E-02	6.750156E-14
frustration	61.5000	Hard	2.946904E-02	2.946904E-02	3.819167E-14
frustration	62.0000	Hard	2.927049E-02	2.927049E-02	3.996803E-14
frustration	62.5000	Hard	2.906517E-02	2.906517E-02	3.286260E-14
frustration	63.0000	Hard	2.885240E-02	2.885240E-02	4.529710E-14
frustration	63.5000	Hard	2.863146E-02	2.863146E-02	7.016610E-14
frustration	64.0000	Hard	2.840160E-02	2.840160E-02	7.460699E-14
frustration	64.5000	Hard	2.816206E-02	2.816206E-02	6.394885E-14
frustration	65.0000	Hard	2.791207E-02	2.791207E-02	6.128431E-14
frustration	65.5000	Hard	2.765084E-02	2.765084E-02	8.615331E-14
frustration	66.0000	Hard	2.737758E-02	2.737758E-02	6.306067E-14
frustration	66.5000	Hard	2.709151E-02	2.709151E-02	9.592327E-14
frustration	67.0000	Hard	2.679186E-02	2.679186E-02	5.240253E-14
frustration	67.5000	Hard	2.647791E-02	2.647791E-02	7.815970E-14
frustration	68.0000	Hard	2.614895E-02	2.614895E-02	8.082424E-14
frustration	68.5000	Hard	2.580433E-02	2.580433E-02	6.306067E-14
frustration	69.0000	Hard	2.544348E-02	2.544348E-02	6.927792E-14
frustration	69.5000	Hard	2.506590E-02	2.506590E-02	7.149836E-14
frustration	70.0000	Hard	2.467117E-02	2.467117E-02	7.371881E-14
frustration	70.5000	Hard	2.425900E-02	2.425900E-02	6.128431E-14
frustration	71.0000	Hard	2.382921E-02	2.382921E-02	3.730349E-14
frustration	71.5000	Hard	2.338176E-02	2.338176E-02	5.329071E-14
frustration	72.0000	Hard	2.291675E-02	2.291675E-02	8.792966E-14
frustration	72.5000	Hard	2.243444E-02	2.243444E-02	3.996803E-14
