scenario,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34,CPsi_01,CPsi_12
"3 Mean-T2, Selective DD",5.0,0.0008793671735169983,0.726233667657183,0.00022873156970748543,0.0002245567541699911,0.000181551423657611,0.0002445274259819108,0.8052129175072565,0.8161975055718239
"4 Sacrifice, No DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"4 Sacrifice, No DD",0.5,0.04713693310915307,0.7495806682455264,0.038756167198368274,0.008182172811919353,0.00011512176304864785,8.347133581679267e-05,0.6588646924239739,0.8692252665069531
"4 Sacrifice, No DD",1.0,0.12056994283417266,0.5818375145567212,0.05325107067181023,0.04387647154000729,0.019075872451734588,0.004366528170620554,0.5296143296710807,0.6676281736879902
"4 Sacrifice, No DD",1.5,0.1582227225234416,0.4590147020059226,0.057114908113704455,0.042527518767789485,0.03053248232014405,0.028047813321803616,0.4738353897828147,0.5790251633274742
"4 Sacrifice, No DD",2.0,0.11520197805069254,0.3664771989256158,0.05471397840911618,0.039353821511638465,0.01429958316597435,0.006834594963963547,0.41913387386326617,0.4968128031938633
"4 Sacrifice, No DD",2.5,0.07057777755756822,0.29718934464383073,0.03601001635446899,0.02447406008697328,0.006622611017406577,0.003471090098719376,0.3533640999074101,0.44264553822968744
"4 Sacrifice, No DD",3.0,0.05823000008201573,0.2476829470330093,0.02168519476630215,0.023364375466456755,0.007705680120168257,0.005474749729088568,0.2964347162059438,0.4066027186690478
"4 Sacrifice, No DD",3.5,0.06888360562478724,0.21004492831812582,0.021263225096619598,0.023426115094209443,0.01475747724146581,0.009436788192492385,0.26954128320733506,0.3479650014323894
"4 Sacrifice, No DD",4.0,0.07401360450104377,0.17893154822655563,0.017638958688823037,0.018361799673518364,0.024625448027763674,0.013387398110938697,0.25648398158674995,0.31089765303663697
"4 Sacrifice, No DD",4.5,0.06922199020860997,0.15318625895827553,0.015556555540994,0.017791528302790738,0.02428975175623993,0.011584154608585306,0.2415676446833903,0.28783929721445395
"4 Sacrifice, No DD",5.0,0.05830373301141378,0.13200593682911022,0.014756940859053103,0.016347496365878955,0.01523633920142764,0.011962956585054085,0.22622928150341756,0.2655172302774042
"5 Sacrifice, Uniform DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"5 Sacrifice, Uniform DD",0.5,0.03882582085463002,0.8205255710980822,0.031107020048268708,0.007462355533122356,0.00021405093301982148,4.23943402191318e-05,0.7408544359677135,0.912282428529862
"5 Sacrifice, Uniform DD",1.0,0.1063280014939127,0.6850150257641235,0.044730592894940746,0.03854807551769768,0.018480676371043614,0.004568656710230656,0.6321211234836844,0.7548922953220595
"5 Sacrifice, Uniform DD",1.5,0.145846733716693,0.5761437867370773,0.05029451885374081,0.038791105369761825,0.02968067914127115,0.027080430351919205,0.5856935447185524,0.6841958417568074
"5 Sacrifice, Uniform DD",2.0,0.10765468066336148,0.48705645179733925,0.049918932221324486,0.03696369175036307,0.013775311027004689,0.006996745664669235,0.5383179235541918,0.6138977833972157
"5 Sacrifice, Uniform DD",2.5,0.06590024982017073,0.41468417065019747,0.03368478172278366,0.023558739783154037,0.005742237125276883,0.0029144911889561476,0.47390172628945404,0.5665550123907409
"5 Sacrifice, Uniform DD",3.0,0.05420288781116944,0.3584406523572634,0.02007576178903614,0.023134768024387853,0.00660059029497595,0.0043917677027695,0.4118990928467927,0.5358256769374664
"5 Sacrifice, Uniform DD",3.5,0.06780084417558274,0.31320667772048727,0.021026476857126664,0.02400362958996538,0.014804425124686382,0.007966312603804315,0.3819876050180846,0.47607328708034075
"5 Sacrifice, Uniform DD",4.0,0.07728082965257688,0.2743892495442729,0.018197678378729654,0.019010242704474267,0.02717824745286168,0.012894661116511275,0.37091243654419115,0.4394416536757693
"5 Sacrifice, Uniform DD",4.5,0.07430725970315666,0.24096612966455128,0.016053868827625273,0.018913417024183365,0.027434576572909597,0.011905397278438423,0.35719151024881035,0.42027959752212135
"5 Sacrifice, Uniform DD",5.0,0.0640586042638649,0.21222764795194582,0.015430185283047182,0.01805848108735386,0.016788154811909095,0.013781783081554755,0.34296319809119824,0.3986615372438453
